Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
7/31/23 13:20,1.69E+12,260615,7/31/23,13:20:45,FO,11,186,696,0,0.733,0,-,0.84,-,-,-,-,-,-,186,696,0.733,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
7/31/23 13:20,1.69E+12,268614,7/31/23,13:20:53,FO,12,199,751,0,0.735,0,-,0.84,-,-,-,-,-,-,199,751,0.735,-,-,-,-,20230731-CARP-001,20230731-CARP-001-A
7/31/23 13:21,1.69E+12,276851,7/31/23,13:21:01,FO,13,3,4,0,-,-,-,0.84,-,-,-,-,-,-,3,4,-,-,-,-,-,NA,NA
7/31/23 13:21,1.69E+12,280501,7/31/23,13:21:04,FO,14,1,6,0,-,-,-,0.84,-,-,-,-,-,-,1,6,-,-,-,-,-,NA,NA
7/31/23 13:21,1.69E+12,299826,7/31/23,13:21:24,FO,15,204,735,0,0.722,0,-,0.84,-,-,-,-,-,-,204,735,0.722,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:21,1.69E+12,311152,7/31/23,13:21:35,FO,16,194,724,0,0.732,0,-,0.84,-,-,-,-,-,-,194,724,0.732,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:21,1.69E+12,322352,7/31/23,13:21:46,FO,17,159,546,0,0.709,0,-,0.84,-,-,-,-,-,-,159,546,0.709,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:21,1.69E+12,331397,7/31/23,13:21:55,FO,18,188,738,0,0.745,0,-,0.84,-,-,-,-,-,-,188,738,0.745,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:22,1.69E+12,347811,7/31/23,13:22:12,FO,19,193,711,0,0.729,0,-,0.84,-,-,-,-,-,-,193,711,0.729,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:22,1.69E+12,357125,7/31/23,13:22:21,FO,20,160,603,0,0.735,0,-,0.84,-,-,-,-,-,-,160,603,0.735,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:22,1.69E+12,366758,7/31/23,13:22:31,FO,21,186,674,0,0.724,0,-,0.84,-,-,-,-,-,-,186,674,0.724,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:22,1.69E+12,381988,7/31/23,13:22:46,FO,22,196,733,0,0.733,0,-,0.84,-,-,-,-,-,-,196,733,0.733,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:22,1.69E+12,392529,7/31/23,13:22:57,FO,23,210,771,0,0.728,0,-,0.84,-,-,-,-,-,-,210,771,0.728,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:23,1.69E+12,405270,7/31/23,13:23:09,FO,24,210,759,0,0.723,0,-,0.84,-,-,-,-,-,-,210,759,0.723,-,-,-,-,20230731-CARP-001,20230731-CARP-001-B
7/31/23 13:23,1.69E+12,413542,7/31/23,13:23:18,FO,25,6,6,0,-,-,-,0.84,-,-,-,-,-,-,6,6,-,-,-,-,-,NA,NA
7/31/23 13:23,1.69E+12,417161,7/31/23,13:23:21,FO,26,1,7,0,-,-,-,0.84,-,-,-,-,-,-,1,7,-,-,-,-,-,NA,NA
7/31/23 13:23,1.69E+12,452896,7/31/23,13:23:57,FO,27,164,635,0,0.742,0,-,0.84,-,-,-,-,-,-,164,635,0.742,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:24,1.69E+12,459599,7/31/23,13:24:04,FO,28,159,590,0,0.731,0,-,0.84,-,-,-,-,-,-,159,590,0.731,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:24,1.69E+12,467322,7/31/23,13:24:11,FO,29,191,694,0,0.725,0,-,0.84,-,-,-,-,-,-,191,694,0.725,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:24,1.69E+12,477611,7/31/23,13:24:22,FO,30,201,695,0,0.711,0,-,0.84,-,-,-,-,-,-,201,695,0.711,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:24,1.69E+12,488068,7/31/23,13:24:32,FO,31,174,668,0,0.74,0,-,0.84,-,-,-,-,-,-,174,668,0.74,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:24,1.69E+12,503639,7/31/23,13:24:48,FO,32,205,710,0,0.711,0,-,0.84,-,-,-,-,-,-,205,710,0.711,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:24,1.69E+12,511340,7/31/23,13:24:55,FO,33,239,759,0,0.685,0,-,0.84,-,-,-,-,-,-,239,759,0.685,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:25,1.69E+12,521720,7/31/23,13:25:06,FO,34,177,637,0,0.722,0,-,0.84,-,-,-,-,-,-,177,637,0.722,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:25,1.69E+12,531495,7/31/23,13:25:15,FO,35,201,740,0,0.728,0,-,0.84,-,-,-,-,-,-,201,740,0.728,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:25,1.69E+12,540258,7/31/23,13:25:24,FO,36,174,628,0,0.723,0,-,0.84,-,-,-,-,-,-,174,628,0.723,-,-,-,-,20230731-CARP-001,20230731-CARP-001-C
7/31/23 13:25,1.69E+12,555448,7/31/23,13:25:39,FO,37,0,5,0,-,-,-,0.84,-,-,-,-,-,-,0,5,-,-,-,-,-,NA,NA
7/31/23 13:25,1.69E+12,559422,7/31/23,13:25:43,FO,38,5,5,0,-,-,-,0.84,-,-,-,-,-,-,5,5,-,-,-,-,-,NA,NA
7/31/23 13:35,1.69E+12,1155704,7/31/23,13:35:40,FO,39,250,772,0,0.676,0,-,0.84,-,-,-,-,-,-,250,772,0.676,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:35,1.69E+12,1165791,7/31/23,13:35:50,FO,40,47,133,0,0.647,0,-,0.84,-,-,-,-,-,-,47,133,0.647,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:36,1.69E+12,1177096,7/31/23,13:36:01,FO,41,193,591,0,0.673,0,-,0.84,-,-,-,-,-,-,193,591,0.673,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:36,1.69E+12,1189729,7/31/23,13:36:14,FO,42,225,735,0,0.694,0,-,0.84,-,-,-,-,-,-,225,735,0.694,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:36,1.69E+12,1199907,7/31/23,13:36:24,FO,43,231,757,0,0.695,0,-,0.84,-,-,-,-,-,-,231,757,0.695,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:36,1.69E+12,1210891,7/31/23,13:36:35,FO,44,160,474,0,0.662,0,-,0.84,-,-,-,-,-,-,160,474,0.662,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:36,1.69E+12,1229796,7/31/23,13:36:54,FO,45,202,605,0,0.666,0,-,0.84,-,-,-,-,-,-,202,605,0.666,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:37,1.69E+12,1239379,7/31/23,13:37:03,FO,46,210,660,0,0.682,0,-,0.84,-,-,-,-,-,-,210,660,0.682,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:37,1.69E+12,1257234,7/31/23,13:37:21,FO,47,224,721,0,0.689,0,-,0.84,-,-,-,-,-,-,224,721,0.689,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:37,1.69E+12,1267469,7/31/23,13:37:31,FO,48,209,628,0,0.667,0,-,0.84,-,-,-,-,-,-,209,628,0.667,-,-,-,-,20230731-CARP-002,20230731-CARP-002-A
7/31/23 13:37,1.69E+12,1278784,7/31/23,13:37:43,FO,49,0,3,0,-,-,-,0.84,-,-,-,-,-,-,0,3,-,-,-,-,-,NA,NA
7/31/23 13:37,1.69E+12,1283060,7/31/23,13:37:47,FO,50,4,4,0,-,-,-,0.84,-,-,-,-,-,-,4,4,-,-,-,-,-,NA,NA
7/31/23 13:38,1.69E+12,1302481,7/31/23,13:38:06,FO,51,235,677,0,0.653,0,-,0.84,-,-,-,-,-,-,235,677,0.653,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:38,1.69E+12,1314931,7/31/23,13:38:19,FO,52,232,704,0,0.67,0,-,0.84,-,-,-,-,-,-,232,704,0.67,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:38,1.69E+12,1338553,7/31/23,13:38:43,FO,53,201,664,0,0.697,0,-,0.84,-,-,-,-,-,-,201,664,0.697,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:38,1.69E+12,1352368,7/31/23,13:38:56,FO,54,167,522,0,0.68,0,-,0.84,-,-,-,-,-,-,167,522,0.68,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:39,1.69E+12,1372623,7/31/23,13:39:17,FO,55,146,410,0,0.644,0,-,0.84,-,-,-,-,-,-,146,410,0.644,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:39,1.69E+12,1384271,7/31/23,13:39:28,FO,56,128,465,0,0.725,0,-,0.84,-,-,-,-,-,-,128,465,0.725,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:39,1.69E+12,1404095,7/31/23,13:39:48,FO,57,134,398,0,0.663,0,-,0.84,-,-,-,-,-,-,134,398,0.663,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:39,1.69E+12,1414081,7/31/23,13:39:58,FO,58,78,209,0,0.627,0,-,0.84,-,-,-,-,-,-,78,209,0.627,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:40,1.69E+12,1422710,7/31/23,13:40:07,FO,59,218,684,0,0.681,0,-,0.84,-,-,-,-,-,-,218,684,0.681,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:40,1.69E+12,1436290,7/31/23,13:40:20,FO,60,203,643,0,0.684,0,-,0.84,-,-,-,-,-,-,203,643,0.684,-,-,-,-,20230731-CARP-002,20230731-CARP-002-B
7/31/23 13:40,1.69E+12,1452975,7/31/23,13:40:37,FO,61,2,4,0,-,-,-,0.84,-,-,-,-,-,-,2,4,-,-,-,-,-,NA,NA
7/31/23 13:40,1.69E+12,1458502,7/31/23,13:40:42,FO,62,0,5,0,-,-,-,0.84,-,-,-,-,-,-,0,5,-,-,-,-,-,NA,NA
7/31/23 13:41,1.69E+12,1487418,7/31/23,13:41:11,FO,63,210,729,0,0.712,0,-,0.84,-,-,-,-,-,-,210,729,0.712,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:41,1.69E+12,1503627,7/31/23,13:41:28,FO,64,215,658,0,0.673,0,-,0.84,-,-,-,-,-,-,215,658,0.673,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:41,1.69E+12,1519460,7/31/23,13:41:43,FO,65,217,658,0,0.67,0,-,0.84,-,-,-,-,-,-,217,658,0.67,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:41,1.69E+12,1529537,7/31/23,13:41:54,FO,66,228,740,0,0.692,0,-,0.84,-,-,-,-,-,-,228,740,0.692,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:42,1.69E+12,1543277,7/31/23,13:42:07,FO,67,209,698,0,0.701,0,-,0.84,-,-,-,-,-,-,209,698,0.701,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:42,1.69E+12,1552806,7/31/23,13:42:17,FO,68,221,675,0,0.673,0,-,0.84,-,-,-,-,-,-,221,675,0.673,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:42,1.69E+12,1562151,7/31/23,13:42:26,FO,69,207,661,0,0.687,0,-,0.84,-,-,-,-,-,-,207,661,0.687,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:42,1.69E+12,1573006,7/31/23,13:42:37,FO,70,190,601,0,0.684,0,-,0.84,-,-,-,-,-,-,190,601,0.684,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:42,1.69E+12,1580064,7/31/23,13:42:44,FO,71,212,705,0,0.699,0,-,0.84,-,-,-,-,-,-,212,705,0.699,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:42,1.69E+12,1589374,7/31/23,13:42:53,FO,72,188,589,0,0.681,0,-,0.84,-,-,-,-,-,-,188,589,0.681,-,-,-,-,20230731-CARP-002,20230731-CARP-002-C
7/31/23 13:43,1.69E+12,1599315,7/31/23,13:43:03,FO,73,1,6,0,-,-,-,0.84,-,-,-,-,-,-,1,6,-,-,-,-,-,NA,NA
7/31/23 13:43,1.69E+12,1604963,7/31/23,13:43:09,FO,74,7,8,0,-,-,-,0.84,-,-,-,-,-,-,7,8,-,-,-,-,-,NA,NA
7/31/23 13:43,1.69E+12,1651630,7/31/23,13:43:56,FO,75,238,642,0,0.629,0,-,0.84,-,-,-,-,-,-,238,642,0.629,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:44,1.69E+12,1664715,7/31/23,13:44:09,FO,76,265,866,0,0.694,0,-,0.84,-,-,-,-,-,-,265,866,0.694,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:44,1.69E+12,1683933,7/31/23,13:44:28,FO,77,38,71,0,0.465,0,-,0.84,-,-,-,-,-,-,38,71,0.465,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:44,1.69E+12,1695912,7/31/23,13:44:40,FO,78,205,717,0,0.714,0,-,0.84,-,-,-,-,-,-,205,717,0.714,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:44,1.69E+12,1710118,7/31/23,13:44:54,FO,79,216,664,0,0.675,0,-,0.84,-,-,-,-,-,-,216,664,0.675,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:45,1.69E+12,1722521,7/31/23,13:45:07,FO,80,201,670,0,0.7,0,-,0.84,-,-,-,-,-,-,201,670,0.7,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:45,1.69E+12,1738693,7/31/23,13:45:23,FO,81,196,656,0,0.701,0,-,0.84,-,-,-,-,-,-,196,656,0.701,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:45,1.69E+12,1751726,7/31/23,13:45:36,FO,82,206,621,0,0.668,0,-,0.84,-,-,-,-,-,-,206,621,0.668,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:45,1.69E+12,1771074,7/31/23,13:45:55,FO,83,208,639,0,0.674,0,-,0.84,-,-,-,-,-,-,208,639,0.674,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:46,1.69E+12,1790641,7/31/23,13:46:15,FO,84,201,678,0,0.704,0,-,0.84,-,-,-,-,-,-,201,678,0.704,-,-,-,-,20230731-CARP-002,20230731-CARP-002-D
7/31/23 13:46,1.69E+12,1802289,7/31/23,13:46:26,FO,85,7,7,0,-,-,-,0.84,-,-,-,-,-,-,7,7,-,-,-,-,-,NA,NA
7/31/23 13:46,1.69E+12,1806208,7/31/23,13:46:30,FO,86,4,6,0,-,-,-,0.84,-,-,-,-,-,-,4,6,-,-,-,-,-,NA,NA
7/31/23 13:57,1.69E+12,2478232,7/31/23,13:57:42,FO,87,160,552,0,0.71,0,-,0.84,-,-,-,-,-,-,160,552,0.71,-,-,-,-,20230731-CARP-003,20230731-CARP-003-A
7/31/23 13:57,1.69E+12,2494318,7/31/23,13:57:58,FO,88,185,694,0,0.733,0,-,0.84,-,-,-,-,-,-,185,694,0.733,-,-,-,-,20230731-CARP-003,20230731-CARP-003-A
7/31/23 13:58,1.69E+12,2514973,7/31/23,13:58:19,FO,89,228,738,0,0.691,0,-,0.84,-,-,-,-,-,-,228,738,0.691,-,-,-,-,20230731-CARP-003,20230731-CARP-003-A
7/31/23 13:58,1.69E+12,2536723,7/31/23,13:58:41,FO,90,155,488,0,0.682,0,-,0.84,-,-,-,-,-,-,155,488,0.682,-,-,-,-,20230731-CARP-003,20230731-CARP-003-A
7/31/23 13:59,1.69E+12,2558607,7/31/23,13:59:03,FO,91,197,714,0,0.724,0,-,0.84,-,-,-,-,-,-,197,714,0.724,-,-,-,-,20230731-CARP-003,20230731-CARP-003-A
7/31/23 13:59,1.69E+12,2574389,7/31/23,13:59:18,FO,92,188,690,0,0.728,0,-,0.84,-,-,-,-,-,-,188,690,0.728,-,-,-,-,20230731-CARP-003,20230731-CARP-003-A
7/31/23 13:59,1.69E+12,2588931,7/31/23,13:59:33,FO,93,234,750,0,0.688,0,-,0.84,-,-,-,-,-,-,234,750,0.688,-,-,-,-,20230731-CARP-003,20230731-CARP-003-A
7/31/23 13:59,1.69E+12,2594282,7/31/23,13:59:38,FO,94,9,9,0,-,-,-,0.84,-,-,-,-,-,-,9,9,-,-,-,-,-,NA,NA
7/31/23 13:59,1.69E+12,2597932,7/31/23,13:59:42,FO,95,18,18,0,-,-,-,0.84,-,-,-,-,-,-,18,18,0,-,-,-,-,NA,NA
7/31/23 14:00,1.69E+12,2617046,7/31/23,14:00:01,FO,96,186,649,0,0.713,0,-,0.84,-,-,-,-,-,-,186,649,0.713,-,-,-,-,20230731-CARP-003,20230731-CARP-003-B
7/31/23 14:00,1.69E+12,2627938,7/31/23,14:00:12,FO,97,216,714,0,0.697,0,-,0.84,-,-,-,-,-,-,216,714,0.697,-,-,-,-,20230731-CARP-003,20230731-CARP-003-B
7/31/23 14:00,1.69E+12,2639891,7/31/23,14:00:24,FO,98,155,508,0,0.695,0,-,0.84,-,-,-,-,-,-,155,508,0.695,-,-,-,-,20230731-CARP-003,20230731-CARP-003-B
7/31/23 14:00,1.69E+12,2655693,7/31/23,14:00:40,FO,99,159,562,0,0.717,0,-,0.84,-,-,-,-,-,-,159,562,0.717,-,-,-,-,20230731-CARP-003,20230731-CARP-003-B
7/31/23 14:00,1.69E+12,2667065,7/31/23,14:00:51,FO,100,182,635,0,0.713,0,-,0.84,-,-,-,-,-,-,182,635,0.713,-,-,-,-,20230731-CARP-003,20230731-CARP-003-B
7/31/23 14:01,1.69E+12,2689157,7/31/23,14:01:13,FO,101,196,695,0,0.718,0,-,0.84,-,-,-,-,-,-,196,695,0.718,-,-,-,-,20230731-CARP-003,20230731-CARP-003-B
7/31/23 14:01,1.69E+12,2699412,7/31/23,14:01:23,FO,102,254,879,0,0.711,0,-,0.84,-,-,-,-,-,-,254,879,0.711,-,-,-,-,20230731-CARP-003,20230731-CARP-003-B
7/31/23 14:01,1.69E+12,2714214,7/31/23,14:01:38,FO,103,218,772,0,0.718,0,-,0.84,-,-,-,-,-,-,218,772,0.718,-,-,-,-,20230731-CARP-003,20230731-CARP-003-B
7/31/23 14:01,1.69E+12,2723310,7/31/23,14:01:47,FO,104,179,714,0,0.749,0,-,0.84,-,-,-,-,-,-,179,714,0.749,-,-,-,-,20230731-CARP-003,20230731-CARP-003-B
7/31/23 14:01,1.69E+12,2732876,7/31/23,14:01:57,FO,105,9,15,0,-,-,-,0.84,-,-,-,-,-,-,9,15,-,-,-,-,-,NA,NA
7/31/23 14:02,1.69E+12,2738498,7/31/23,14:02:02,FO,106,8,8,0,-,-,-,0.84,-,-,-,-,-,-,8,8,-,-,-,-,-,NA,NA
7/31/23 14:02,1.69E+12,2785276,7/31/23,14:02:49,FO,107,186,651,0,0.714,0,-,0.84,-,-,-,-,-,-,186,651,0.714,-,-,-,-,20230731-CARP-003,20230731-CARP-003-C
7/31/23 14:03,1.69E+12,2799959,7/31/23,14:03:04,FO,108,202,706,0,0.714,0,-,0.84,-,-,-,-,-,-,202,706,0.714,-,-,-,-,20230731-CARP-003,20230731-CARP-003-C
7/31/23 14:03,1.69E+12,2828725,7/31/23,14:03:33,FO,109,197,721,0,0.727,0,-,0.84,-,-,-,-,-,-,197,721,0.727,-,-,-,-,20230731-CARP-003,20230731-CARP-003-C
7/31/23 14:03,1.69E+12,2840353,7/31/23,14:03:44,FO,110,188,642,0,0.707,0,-,0.84,-,-,-,-,-,-,188,642,0.707,-,-,-,-,20230731-CARP-003,20230731-CARP-003-C
7/31/23 14:03,1.69E+12,2848894,7/31/23,14:03:53,FO,111,214,762,0,0.719,0,-,0.84,-,-,-,-,-,-,214,762,0.719,-,-,-,-,20230731-CARP-003,20230731-CARP-003-C
7/31/23 14:04,1.69E+12,2855876,7/31/23,14:04:00,FO,112,203,723,0,0.719,0,-,0.84,-,-,-,-,-,-,203,723,0.719,-,-,-,-,20230731-CARP-003,20230731-CARP-003-C
7/31/23 14:04,1.69E+12,2861447,7/31/23,14:04:05,FO,113,3,4,0,-,-,-,0.84,-,-,-,-,-,-,3,4,-,-,-,-,-,NA,NA
7/31/23 14:04,1.69E+12,2866103,7/31/23,14:04:10,FO,114,3,4,0,-,-,-,0.84,-,-,-,-,-,-,3,4,-,-,-,-,-,NA,NA
7/31/23 14:04,1.69E+12,2883647,7/31/23,14:04:28,FO,115,172,587,0,0.707,0,-,0.84,-,-,-,-,-,-,172,587,0.707,-,-,-,-,20230731-CARP-003,20230731-CARP-003-D
7/31/23 14:04,1.69E+12,2892164,7/31/23,14:04:36,FO,116,202,671,0,0.699,0,-,0.84,-,-,-,-,-,-,202,671,0.699,-,-,-,-,20230731-CARP-003,20230731-CARP-003-D
7/31/23 14:04,1.69E+12,2900136,7/31/23,14:04:44,FO,117,218,677,0,0.678,0,-,0.84,-,-,-,-,-,-,218,677,0.678,-,-,-,-,20230731-CARP-003,20230731-CARP-003-D
7/31/23 14:04,1.69E+12,2908515,7/31/23,14:04:53,FO,118,224,710,0,0.685,0,-,0.84,-,-,-,-,-,-,224,710,0.685,-,-,-,-,20230731-CARP-003,20230731-CARP-003-D
7/31/23 14:05,1.69E+12,2915823,7/31/23,14:05:00,FO,119,190,700,0,0.729,0,-,0.84,-,-,-,-,-,-,190,700,0.729,-,-,-,-,20230731-CARP-003,20230731-CARP-003-D
7/31/23 14:05,1.69E+12,2924407,7/31/23,14:05:08,FO,120,209,763,0,0.726,0,-,0.84,-,-,-,-,-,-,209,763,0.726,-,-,-,-,20230731-CARP-003,20230731-CARP-003-D
7/31/23 14:05,1.69E+12,2931722,7/31/23,14:05:16,FO,121,0,6,0,-,-,-,0.84,-,-,-,-,-,-,0,6,-,-,-,-,-,NA,NA
7/31/23 14:05,1.69E+12,2935738,7/31/23,14:05:20,FO,122,7,7,0,-,-,-,0.84,-,-,-,-,-,-,7,7,-,-,-,-,-,NA,NA
7/31/23 14:12,1.69E+12,3357439,7/31/23,14:12:21,FO,123,196,771,0,0.746,0,-,0.84,-,-,-,-,-,-,196,771,0.746,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:12,1.69E+12,3368255,7/31/23,14:12:32,FO,124,212,716,0,0.704,0,-,0.84,-,-,-,-,-,-,212,716,0.704,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:12,1.69E+12,3386094,7/31/23,14:12:50,FO,125,133,458,0,0.71,0,-,0.84,-,-,-,-,-,-,133,458,0.71,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:13,1.69E+12,3400275,7/31/23,14:13:04,FO,126,160,501,0,0.681,0,-,0.84,-,-,-,-,-,-,160,501,0.681,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:13,1.69E+12,3416683,7/31/23,14:13:21,FO,127,222,789,0,0.719,0,-,0.84,-,-,-,-,-,-,222,789,0.719,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:13,1.69E+12,3427197,7/31/23,14:13:31,FO,128,211,682,0,0.691,0,-,0.84,-,-,-,-,-,-,211,682,0.691,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:13,1.69E+12,3438236,7/31/23,14:13:42,FO,129,209,651,0,0.679,0,-,0.84,-,-,-,-,-,-,209,651,0.679,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:13,1.69E+12,3449606,7/31/23,14:13:54,FO,130,69,249,0,0.723,0,-,0.84,-,-,-,-,-,-,69,249,0.723,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:14,1.69E+12,3463549,7/31/23,14:14:08,FO,131,187,662,0,0.718,0,-,0.84,-,-,-,-,-,-,187,662,0.718,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:14,1.69E+12,3476544,7/31/23,14:14:21,FO,132,215,765,0,0.719,0,-,0.84,-,-,-,-,-,-,215,765,0.719,-,-,-,-,20230731-CARP-004,20230731-CARP-004-A
7/31/23 14:14,1.69E+12,3482437,7/31/23,14:14:26,FO,133,1,7,0,-,-,-,0.84,-,-,-,-,-,-,1,7,-,-,-,-,-,NA,NA
