specimen_ID,subsample_ID,wet_weight_mg,dmso_sample,dmso_diluent,dmso_ug_mL,milliq_ug_mL,ace_met_mil_sample,ace_met_mil_diluent,ace_met_mil_chlA,dmso_dilution,ace_met_mil_dilution,chlA_mg,total_chlA,notes
20220815-MOHK-019,20220815-MOHK-019-A,2,10,990,26.07,0.01,1000,0,75.18,100,1,5401.97,5589.92,
20220815-MOHK-019,20220815-MOHK-019-B,3,10,990,24.05,0.01,1000,0,85.5,100,1,4952.52,5237.52,
20220818-AQUE-001,20220818-AQUE-001-A,20,100,900,144.3,1.21,10,990,16.24,10,100,3294.42,11008.419999999998,
20220818-AQUE-001,20220818-AQUE-001-B,42,10,990,41.81,7.17,10,990,32.67,100,100,8765.26857142857,24711.340000000004,
20220818-AQUE-001,20220818-AQUE-001-C,23,10,990,26.95,4.98,10,990,18.27,100,100,5797.133913043478,14534.96,
20220818-AQUE-002,20220818-AQUE-002-A,18,10,990,10.59,0.43,10,990,14.18,100,100,2512.7488888888893,9208.86,
20220818-AQUE-002,20220818-AQUE-002-B,12,100,900,59.42,0.25,100,900,81.06,10,10,1526.65,5241.9,
20220818-AQUE-002,20220818-AQUE-002-C,25,10,990,36.23,2.3,10,990,14.49,100,100,7540.4,14495.599999999999,
20220824-CARP-001,20220824-CARP-001-A,1,10,990,53.91,7.33,10,990,13.74,100,100,NA,NA,
20220824-CARP-001,20220824-CARP-001-B,1,10,990,31.99,2.46,10,990,16.79,100,100,19181.92,19181.92,
20220824-CARP-002,20220824-CARP-002-A,9,100,900,21.87,0.38,100,900,39.07,10,10,857.6155555555555,2594.06,
20220824-CARP-002,20220824-CARP-002-B,12,100,900,33.79,0.94,100,900,60.17,10,10,689.9883333333333,3447.78,
20220824-CARP-002,20220824-CARP-002-C,9,100,900,17.28,0.44,100,900,34.78,10,10,869.9022222222222,2415.68,
20220824-CARP-003,20220824-CARP-003-A,1,10,990,10.84,0.58,100,900,70.13,100,10,6963.66,6963.66,
20220824-CARP-003,20220824-CARP-003-B,1,10,990,27.64,0.32,1000,0,17.53,100,1,2256.29,2256.29,
20220824-CARP-003,20220824-CARP-003-C,1,10,990,17.65,0.61,100,900,33.56,100,10,7207.22,7207.22,
20220824-CARP-004,20220824-CARP-004-A,10,10,990,41.87,0.35,100,900,108.07,100,10,4071.0499999999993,8934.199999999999,
20220824-CARP-004,20220824-CARP-004-B,12,10,990,52.44,1.52,100,900,101.12,100,10,8798.373333333335,13433.04,
20220824-CARP-004,20220824-CARP-004-C,11,10,990,64.21,0.71,100,900,99.78,100,10,10942.965454545454,15478.42,
20220824-CARP-005,20220824-CARP-005-A,1,10,990,41.85,1.57,100,900,44.78,100,10,15084.139999999998,15084.139999999998,
20220824-CARP-005,20220824-CARP-005-B,1,10,990,39.35,0.32,100,900,43.87,100,10,10564.14,10564.14,
20220824-CARP-005,20220824-CARP-005-C,1,10,990,57.36,0.39,100,900,15.36,100,10,8638.779999999999,8638.779999999999,
20220824-CARP-006,20220824-CARP-006-A,1,10,990,13.15,0.64,100,900,54.01,100,10,14173.78,14173.78,
20220824-CARP-006,20220824-CARP-006-B,1,10,990,24.34,1.03,100,900,34.24,100,10,4344.06,4344.06,
20220824-CARP-006,20220824-CARP-006-C,1,10,990,33.56,0.13,1000,0,0.96,100,1,4873.06,4873.06,
20220824-CARP-007,20220824-CARP-007-A,14,10,990,44.14,0.4,100,900,111.97,100,10,7112.692857142857,12311.3,
20220824-CARP-007,20220824-CARP-007-B,11,10,990,52.58,0.28,100,900,80.04,100,10,9192.378181818181,12830.56,
20220824-CARP-007,20220824-CARP-007-C,14,10,990,44.27,0.49,100,900,106.17,100,10,10896.15857142857,15825.48,
20220824-CARP-008,20220824-CARP-008-A,15,100,900,60.03,0.49,100,900,89.13,10,10,1183.48,5342.88,
20220824-CARP-008,20220824-CARP-008-B,15,100,900,46.91,0.33,100,900,88.29,10,10,1495.56,5615.76,
20220824-CARP-008,20220824-CARP-008-C,6,100,900,17.3,0.17,100,900,34.26,10,10,1224.04,2651.54,
20220824-CARP-009,20220824-CARP-009-A,5,100,900,37,0.25,100,900,22.47,10,10,571.2,1470,
20220824-CARP-009,20220824-CARP-009-B,5,1000,0,189.6,89.6,100,900,32.89,1,10,582.0999999999999,1897.7,
20220824-CARP-009,20220824-CARP-009-C,6,100,900,34.14,0.84,100,900,30.58,10,10,4048.5133333333333,5322.679999999999,
20220824-CARP-010,20220824-CARP-010-A,6,10,990,113.04,0.84,100,900,21.75,100,10,7010.93,7917.18,
20220824-CARP-010,20220824-CARP-010-B,5,10,990,73.6,0.45,1000,0,44.05,100,1,22652.95,22829.15,
20220824-CARP-010,20220824-CARP-010-C,5,10,990,86.67,0.53,1000,0,30.87,100,1,14751.929999999998,14875.409999999998,
20220824-CARP-011,20220824-CARP-011-A,3,10,990,31.88,0.3,1000,0,20.97,100,1,17369.55,17439.449999999997,
20220824-CARP-011,20220824-CARP-011-B,7,10,990,55.53,0,1000,0,53.27,100,1,6414.05,6642.35,no MilliQ reading
20220824-CARP-011,20220824-CARP-011-C,6,10,990,70.35,0,1000,0,46.26,100,1,11144.55,11337.3,
20220824-CARP-012,20220824-CARP-012-A,11,10,990,54.09,0,100,900,99.19,100,10,14520.863636363634,19029.5,
20220824-CARP-012,20220824-CARP-012-B,13,10,990,63.92,0,100,900,78.86,100,10,11121.307692307691,14761,
20220824-CARP-012,20220824-CARP-012-C,12,10,990,37.48,0,100,900,60.08,100,10,13034.333333333334,15788,
20220824-CARP-013,20220824-CARP-013-A,1,10,990,42.04,0,1000,0,58.56,100,1,7788.799999999999,7788.799999999999,
20220824-CARP-013,20220824-CARP-013-B,1,10,990,50.9,0,1000,0,6.87,100,1,8442.35,8442.35,
20220824-CARP-013,20220824-CARP-013-C,1,10,990,41.28,0,1000,0,157.41,100,1,10967.05,10967.05,
20220824-CARP-014,20220824-CARP-014-A,5,10,990,51.22,0,1000,0,70.2,100,1,8326.2,8607,
20220824-CARP-015,20220824-CARP-015-A,1,10,990,25.25,0,1000,0,44.42,100,1,10466.1,10466.1,
20220824-CARP-015,20220824-CARP-015-B,1,10,990,30.38,0,1000,0,137.43,100,1,5737.15,5737.15,
20220824-CARP-015,20220824-CARP-015-C,1,10,990,29.43,0,1000,0,6.58,100,1,6108.9,6108.9,
20220824-CARP-016,20220824-CARP-016-A,1,10,990,37.95,0,1000,0,19.36,100,1,5982.8,5982.8,
20220824-CARP-016,20220824-CARP-016-B,1,10,990,36.18,0,1000,0,156.72,100,1,8373.6,8373.6,
20220824-CARP-016,20220824-CARP-016-C,1,10,990,18.77,0,100,900,0.35,100,10,7253.5,7253.5,
20220824-CARP-017,20220824-CARP-017-A,3,10,990,36.58,0,100,900,29.89,100,10,4252.166666666667,5248.5,
20220824-CARP-017,20220824-CARP-017-B,6,10,990,25.57,0,100,900,38.8,100,10,7639.333333333333,9256,
20220824-CARP-017,20220824-CARP-017-C,5,10,990,28.91,0,100,900,14.97,100,10,5263.7,5862.5,
20220824-CARP-018,20220824-CARP-018-A,2,10,990,48.88,0,100,900,139.8,100,10,9277,12772,
20220824-CARP-018,20220824-CARP-018-B,1,10,990,27.28,0,1000,0,0.88,100,1,9780.4,9780.4,
20220824-CARP-018,20220824-CARP-018-C,2,10,990,22.8,0,1000,0,3.04,100,1,5463.6,5471.2,
20220824-CARP-019,20220824-CARP-019-A,2,10,990,24.62,0,100,900,39.18,100,10,5539.5,6519,
20220824-CARP-019,20220824-CARP-019-B,5,10,990,29.01,0,100,900,33.04,100,10,5254.4,6576,
20220824-CARP-019,20220824-CARP-019-C,3,10,990,29.73,0,100,900,18.31,100,10,6107.166666666667,6717.5,
20220824-CARP-020,20220824-CARP-020-A,6,100,900,12.69,0,100,900,27.88,10,10,826.9333333333334,1988.6,
20220824-CARP-020,20220824-CARP-020-B,6,100,900,29.02,0,100,900,34.98,10,10,545.3,2002.7999999999997,
20220824-CARP-020,20220824-CARP-020-C,9,100,900,26.92,0,100,900,32.02,10,10,758.2888888888889,2181.4,
20220824-CARP-021,20220824-CARP-021-A,1,10,990,36.95,0,1000,0,41.45,100,1,5591.25,5591.25,
20220824-CARP-021,20220824-CARP-021-B,1,10,990,31.52,0,1000,0,66.4,100,1,7722.000000000001,7722.000000000001,
20220824-CARP-021,20220824-CARP-021-C,2,10,990,30.97,0,1000,0,123.73,100,1,6613.325,6922.65,
20230824-MOHK-001,20230824-MOHK-001-A,14,10,990,63.68,0,100,900,20.95,100,10,6268.821428571428,7241.5,
20230824-MOHK-002,20230824-MOHK-002-A,13,10,990,50.2,0,100,900,33.23,100,10,12863.807692307691,14397.5,
20230824-MOHK-003,20230824-MOHK-003-A,13,10,990,55.83,0,1000,0,62.87,100,1,10064.180769230768,10354.35,
20230824-MOHK-004,20230824-MOHK-004-A,13,10,990,48.74,0,100,900,29.14,100,10,11278.076923076924,12623,
20230824-MOHK-005,20230824-MOHK-005-A,20,10,990,44.22,0,100,900,26.5,100,10,9814.25,11073,
20230824-MOHK-006,20230824-MOHK-006-A,13,10,990,59.7,0,100,900,79.35,100,10,9149.192307692309,12811.5,
20230824-MOHK-006,20230824-MOHK-006-B,15,10,990,60.84,0,100,900,123.7,100,10,12352.333333333334,18125,
20230824-MOHK-006,20230824-MOHK-006-C,15,10,990,51.33,0,100,900,104.1,100,10,12515,17373,
20230824-MOHK-007,20230824-MOHK-007-A,13,10,990,62.56,0,100,900,68.69,100,10,10530.192307692309,13700.5,
20230824-MOHK-007,20230824-MOHK-007-B,13,10,990,39.03,0,100,900,106.19,100,10,12920.423076923076,17821.5,
20230824-MOHK-007,20230824-MOHK-007-C,13,10,990,60.09,0,100,900,50.31,100,10,7999.5,10321.5,
20230824-MOHK-008,20230824-MOHK-008-A,16,10,990,60.52,0,100,900,31.08,100,10,12115.125,13572,
20230824-MOHK-008,20230824-MOHK-008-B,17,10,990,68.52,0,100,900,52.38,100,10,12258.058823529413,14723,
20230824-MOHK-008,20230824-MOHK-008-C,12,10,990,43.71,0,100,900,51.71,100,10,13919.458333333334,16289.5,
20230824-MOHK-009,20230824-MOHK-009-A,15,10,990,52.76,0,100,900,20.8,100,10,8811.333333333334,9782,
20230824-MOHK-010,20230824-MOHK-010-A,14,10,990,66.26,0,100,900,86.97,100,10,10862.607142857143,14900.5,
20230824-MOHK-010,20230824-MOHK-010-B,14,10,990,53.36,0,100,900,43.39,100,10,13406.964285714288,15421.500000000002,
20230824-MOHK-010,20230824-MOHK-010-C,12,10,990,17.04,0,100,900,47.09,100,10,10868.208333333334,13026.5,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
